,Tuition,UG,SAT_AVG_ALL,PCTPELL
521,23452.0,3014.0,1282.0,0.1496
522,21577.0,882.0,1019.0,0.4942
523,21914.0,1499.0,1067.0,0.3161
524,28374.0,5469.0,1202.0,0.1809
525,23046.0,3555.0,1032.0,0.3861
526,14909.0,4148.0,1008.0,0.1308
527,17393.0,6772.0,1050.0,0.2631
528,14838.0,2398.0,871.0,0.7661
529,10978.0,371.0,990.0,0.4981
530,12840.0,3356.0,970.0,0.4262
531,13142.0,5471.0,910.0,0.6629
532,21209.0,1193.0,1163.0,0.2135
533,14284.0,9608.0,1118.0,0.2661
534,10874.0,2660.0,1012.0,0.4832
535,10880.0,2358.0,850.0,0.7183
536,15375.0,2440.0,1106.0,0.3345
537,16035.0,13307.0,1140.0,0.3261
538,9777.0,853.0,780.0,0.8941
539,12175.0,12143.0,1049.0,0.4855
540,13117.0,1000.0,844.0,0.9333
541,16557.0,1715.0,1071.0,0.6454
542,19608.0,1123.0,986.0,0.3959
543,12620.0,224.0,1010.0,0.5378
544,10335.0,133.0,985.0,0.5874
545,19513.0,1172.0,1043.0,0.4211
546,14794.0,9150.0,1010.0,0.3661
547,36435.0,76.0,910.0,0.5
548,27422.0,93.0,1145.0,0.3978
549,17289.0,311.0,1049.0,0.4684
550,19030.0,821.0,968.0,0.4723
551,21466.0,4053.0,1185.0,0.5296
552,21749.0,1488.0,1064.0,0.4805
553,15615.0,1377.0,1050.0,0.3322
554,30384.0,527.0,1073.0,0.4473
555,22125.0,3991.0,1043.0,0.333
556,24484.0,2573.0,1145.0,0.2974
557,9724.0,110.0,983.0,0.4074
558,18938.0,2574.0,961.0,0.2106
559,9011.0,5785.0,1030.0,0.5641
560,16902.0,18058.0,1203.0,0.2083
561,14418.0,8091.0,1130.0,0.304
562,14096.0,3698.0,1261.0,0.2442
563,10017.0,12737.0,1105.0,0.2864
564,12586.0,5812.0,1246.0,0.2047
565,10154.0,5568.0,1047.0,0.3491
566,22830.0,2034.0,1162.0,0.145
567,31005.0,9821.0,1257.0,0.1287
568,14923.0,195.0,990.0,0.5698
569,14810.0,2714.0,1058.0,0.4143
570,22422.0,722.0,1036.0,0.4438
571,12294.0,7758.0,1050.0,0.3376
572,15314.0,14699.0,1090.0,0.3273
573,32873.0,6695.0,1469.0,0.074
574,24006.0,3639.0,1109.0,0.3573
575,20030.0,686.0,1084.0,0.3074
576,20788.0,1442.0,1160.0,0.2733
577,23425.0,1011.0,1035.0,0.325
578,23227.0,1251.0,1110.0,0.2154
579,12626.0,1420.0,1145.0,0.3141
580,16809.0,10441.0,1131.0,0.2719
581,12679.0,10666.0,1090.0,0.3619
582,12784.0,1389.0,892.0,0.4656
583,18462.0,784.0,1037.0,0.322
584,23212.0,137.0,1090.0,0.3436
585,19322.0,1180.0,1076.0,0.2197
586,28565.0,3765.0,1196.0,0.1633
587,22206.0,1517.0,1064.0,0.3089
588,17087.0,510.0,1003.0,0.383
589,19592.0,1090.0,1055.0,0.306
590,15488.0,5502.0,1049.0,0.3472
591,17989.0,370.0,1110.0,0.3467
592,23077.0,1025.0,962.0,0.3916
593,12505.0,10694.0,1050.0,0.3269
594,21990.0,1675.0,1121.0,0.2729
595,16705.0,17968.0,1145.0,0.2092
596,20182.0,788.0,1050.0,0.3622
597,16400.0,497.0,950.0,0.5274
598,10915.0,17327.0,1007.0,0.3614
599,14568.0,10134.0,1084.0,0.2801
600,27562.0,331.0,1012.0,0.4158
601,29986.0,4057.0,1437.0,0.139
602,28468.0,1489.0,943.0,0.277
603,24013.0,5954.0,1107.0,0.2164
604,20371.0,4297.0,991.0,0.2373
605,17102.0,5945.0,1107.0,0.2671
606,18910.0,1785.0,855.0,0.6978
607,11434.0,1844.0,969.0,0.3213
608,19498.0,1202.0,929.0,0.334
609,16902.0,6560.0,1020.0,0.2781
610,15863.0,1484.0,878.0,0.519
611,16920.0,1618.0,945.0,0.3886
612,22383.0,8051.0,1065.0,0.3006
613,8887.0,6398.0,865.0,0.5706
614,18781.0,9300.0,928.0,0.4502
615,28093.0,4194.0,1037.0,0.2663
616,17486.0,5637.0,1205.0,0.3799
617,8848.0,4663.0,1490.0,0.1465
618,22013.0,4906.0,1090.0,0.2679
619,28298.0,4178.0,1014.0,0.2748
620,14094.0,3717.0,1187.0,0.4779
621,19924.0,27938.0,1187.0,0.3095
622,13705.0,5873.0,1187.0,0.5304
623,12958.0,2687.0,918.0,0.5838
624,27199.0,5403.0,1145.0,0.2929
625,16413.0,1337.0,806.0,0.4726
626,32869.0,1599.0,1340.0,0.184
